DESTINATION_AIRPORT,MEAN_ARRIVAL_DELAY_PREDICT,RMSE
CRP,5.670652706487662,13.21932822868481
CRW,1.3302628762477449,12.900325887043502
CSG,9.797352249387133,26.4446754276992
CVG,1.073731044279829,7.751545190153819
CWA,0.31409954502038595,18.584113345769445
DAB,-0.5155038759689925,22.67522901549843
DAL,3.528217578277869,12.74904796326846
DAY,2.3857453313112296,15.968899642175796
DBQ,-2.2092921577718676,20.73570628657259
DCA,1.5067104660463355,9.417543753568355
DEN,3.133261801848539,12.27043479570062
DFW,1.7236746351580405,12.079831481708197
DHN,5.518551214090287,22.761779394128816
DIK,-10.632911392405063,11.544948878924115
DLH,4.516928216408773,18.925431978068925
DRO,-1.9560656587073708,13.003295202302615
DSM,1.875289527285827,12.399562858659648
DTW,0.30856696246594234,7.174594096261503
DVL,-4.036001466774926,26.713599758500308
EAU,1.425068301459319,19.9229743176148
ECP,-1.285517327020059,12.821885439996947
EGE,2.2469984738123867,22.769984685574414
EKO,13.304060282053644,70.87252675475017
ELM,1.4467432439095687,12.527251132806345
ELP,6.049433157154703,10.149710092175406
ERI,3.603464020455376,28.249834253269032
ESC,-4.510403409310039,22.082371272924213
EUG,6.910227168505322,21.103153279019022
EVV,-2.3866443584006727,13.990906570012188
EWN,3.6286972228494023,29.12469921279477
EWR,5.181025723977336,15.00524424953175
EYW,5.514074303877241,29.34706002842757
FAI,-3.0819938860636538,13.80612611429775
FAR,2.6820505789260793,15.941947617728921
FAT,4.181943311394043,13.490263750490026
FAY,3.0359526667742704,17.916453754725996
FCA,-0.4818560063585759,14.935072786155365
FLG,2.6245371714665335,14.15344091742682
FLL,2.80774201100186,9.088016460527621
FNT,-1.2344115904820607,12.816276375470764
FSD,5.555391001870449,14.07533491105675
FSM,7.661521539340412,23.331886849441357
FWA,2.6512672280687912,16.588322076227318
GCC,-2.7563935376367463,17.569809724888703
GCK,-0.23392255014426244,19.261414459315397
GEG,3.0917872392084127,8.652725838958723
GGG,1.0397047791359604,16.676663825401395
GJT,-1.4987458469486115,11.00595319649394
GNV,2.7197561070493306,12.830905938946016
GPT,1.4754941163771935,16.620267864189806
GRB,1.2973033512933292,14.031972218479838
GRI,-4.744491126529759,35.24882127687372
GRK,0.7916549029701266,13.075124335957762
GRR,2.105663550835847,11.677238679385269
GSO,3.4041903822589363,15.092100434911028
GSP,1.3714406113732482,10.745661892170368
GTF,-0.05164113592877728,13.775782394647258
GTR,0.0900105531888476,21.419401497672343
GUC,11.306069851736172,42.63255466889313
GUM,23.513178294573642,149.77125027907292
HDN,8.751167958510072,32.43497795999044
HIB,2.099879962169898,30.727678504039446
HLN,-0.6243212091435151,15.564928422054773
